Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,CTR
new 4 bedroom house for sale,Broad match,Enabled,Enabled,Enabled,$174.59,123,5.67%
New construction homes Walnut CA,Broad match,Enabled,Enabled,Enabled,$142.71,98,21.40%
4 bedroom new construction homes,Broad match,Enabled,Enabled,Enabled,$79.21,54,2.38%
new construction 5 bedroom homes,Broad match,Enabled,Enabled,Enabled,$75.50,41,10.68%
new 5 bedroom homes for sale,Broad match,Enabled,Enabled,Enabled,$75.37,59,7.08%
new home communities in Walnut,Broad match,Enabled,Enabled,Enabled,$70.64,22,19.30%
5 bedroom new construction homes near me,Broad match,Enabled,Enabled,Enabled,$68.56,35,4.34%
5 bedroom new construction homes,Broad match,Enabled,Enabled,Enabled,$61.13,34,3.05%
house for sale in walnut ca,Broad match,Enabled,Enabled,Enabled,$60.98,47,3.91%
homes for sale in walnut ca,Broad match,Enabled,Enabled,Enabled,$52.95,40,7.22%
New 5 bedroom homes,Broad match,Enabled,Enabled,Enabled,$47.37,39,10.00%
4 bedroom new build house for sale,Broad match,Enabled,Enabled,Enabled,$42.34,33,3.98%
new construction homes Walnut CA,Broad match,Enabled,Enabled,Enabled,$39.21,30,18.63%
New 4 bedroom homes,Broad match,Enabled,Enabled,Enabled,$23.53,17,6.77%
Luxury homes Walnut CA,Broad match,Enabled,Enabled,Enabled,$21.76,19,7.82%
new homes near Rowland Heights,Broad match,Enabled,Enabled,Enabled,$20.23,14,4.33%
new build 5 bedroom house,Broad match,Enabled,Enabled,Enabled,$13.76,5,5.38%
homes for sale in Walnut California,Broad match,Enabled,Enabled,Enabled,$12.23,11,7.38%
new 4 bedroom homes for sale,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
4 bed new build,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
4 bedroom new build,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
new build 4 bedroom house,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
5 bed new build homes,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
5 bedroom new build,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
new 5 bedroom homes for sale near me,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
new 4 bedroom homes for sale near me,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
5 bedroom new build homes near me,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
5 bed new builds near me,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
new build 4 bedroom house near me,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
4 bedroom new builds near me,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
4 bed new build near me,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
buy 4 bedroom house near me,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Walnut CA new home community,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
new homes in Altea Walnut,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Terraces at Walnut Altea homes,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
buy new home Walnut CA,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Walnut CA real estate new homes,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Homes with mountain views Walnut CA,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Homes near Puente Hills Walnut CA,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
5 bedroom homes Walnut gated community,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Walnut Valley Unified School District new homes,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Gated community with parks and trails Walnut,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Gated community homes Walnut CA,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
New home community Walnut CA,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
CBC Home Altea Walnut,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
